API Name,Memory,vCPUs,Linux On Demand cost,Linux Reserved cost,Linux Spot Minimum cost,Linux Spot Maximum cost
t2.nano,0.5,1,0.0058,0.0036,unavailable,unavailable
t4g.nano,0.5,2,0.0042,0.0026,0.0016,0.0027
t3a.nano,0.5,2,0.0047,0.0029,0.0018,0.0021
t3.nano,0.5,2,0.0052,0.0033,0.0016,0.0016
t1.micro,0.613,1,0.02,0.014,0.002,0.002
t2.micro,1.0,1,0.0116,0.0072,0.0035,0.0035
t4g.micro,1.0,2,0.0084,0.0053,0.0025,0.0025
t3a.micro,1.0,2,0.0094,0.0059,0.0029,0.0038
t3.micro,1.0,2,0.0104,0.0065,0.0031,0.0031
m1.small,1.7,1,0.044,0.028,0.0044,0.0044
c1.medium,1.7,2,0.13,0.091,0.013,0.043
t2.small,2.0,1,0.023,0.0144,0.0069,0.0082
a1.medium,2.0,1,0.0255,0.0161,0.0084,0.0096
c6g.medium,2.0,1,0.034,0.0214,0.017,0.017
c6gd.medium,2.0,1,0.0384,0.0242,0.017,0.017
c6gn.medium,2.0,1,0.0432,0.02727,0.017,0.017
t4g.small,2.0,2,0.0168,0.0105,0.005,0.005
t3a.small,2.0,2,0.0188,0.0118,0.0064,0.0071
t3.small,2.0,2,0.0208,0.013,0.0062,0.0063
m3.medium,3.75,1,0.067,0.048,0.0067,0.0068
m1.medium,3.75,1,0.087,0.056,0.0087,0.0087
c4.large,3.75,2,0.1,0.063,0.0316,0.0408
c3.large,3.75,2,0.105,0.073,0.0294,0.0348
m6g.medium,4.0,1,0.0385,0.0241,0.0179,0.0179
m6gd.medium,4.0,1,0.0452,0.0285,0.0179,0.0179
t4g.medium,4.0,2,0.0336,0.0211,0.0101,0.0101
t3a.medium,4.0,2,0.0376,0.0236,0.0129,0.0149
t3.medium,4.0,2,0.0416,0.0261,0.0125,0.0125
t2.medium,4.0,2,0.0464,0.0287,0.0139,0.0214
a1.large,4.0,2,0.051,0.0321,0.0197,0.0234
c6g.large,4.0,2,0.068,0.0428,0.034,0.034
c6a.large,4.0,2,0.0765,0.0506,0.034,0.034
c6gd.large,4.0,2,0.0768,0.0484,0.034,0.034
c5a.large,4.0,2,0.077,0.049,0.0324,0.0373
c5.large,4.0,2,0.085,0.054,0.0331,0.0465
c6i.large,4.0,2,0.085,0.05623,0.034,0.0341
c5ad.large,4.0,2,0.086,0.054,0.0324,0.0324
c6gn.large,4.0,2,0.0864,0.05453,0.034,0.034
c5d.large,4.0,2,0.096,0.06,0.0324,0.0344
c5n.large,5.25,2,0.108,0.068,0.0324,0.0374
is4gen.medium,6.0,1,0.14408,0.09826,0.0432,0.0432
c1.xlarge,7.0,8,0.52,0.364,0.052,0.2267
m3.large,7.5,2,0.133,0.095,0.0308,0.0308
m1.large,7.5,2,0.175,0.112,0.0175,0.0199
c4.xlarge,7.5,4,0.199,0.126,0.0683,0.0888
c3.xlarge,7.5,4,0.21,0.146,0.061,0.0726
r6g.medium,8.0,1,0.0504,0.0318,0.0187,0.0187
r6gd.medium,8.0,1,0.0576,0.0363,0.0187,0.0187
t4g.large,8.0,2,0.0672,0.0421,0.0202,0.0202
t3a.large,8.0,2,0.0752,0.0471,0.0243,0.027
m6g.large,8.0,2,0.077,0.0483,0.0357,0.0357
t3.large,8.0,2,0.0832,0.0522,0.0252,0.0312
m5a.large,8.0,2,0.086,0.054,0.0371,0.0443
m6a.large,8.0,2,0.0864,0.05715,0.0357,0.0357
m6gd.large,8.0,2,0.0904,0.057,0.0357,0.0357
t2.large,8.0,2,0.0928,0.0575,0.0278,0.0333
m5.large,8.0,2,0.096,0.06,0.0395,0.0417
m6i.large,8.0,2,0.096,0.0635,0.0366,0.0376
m4.large,8.0,2,0.1,0.062,0.0383,0.0434
m5ad.large,8.0,2,0.103,0.065,0.034,0.0403
m5d.large,8.0,2,0.113,0.071,0.0344,0.0396
m5n.large,8.0,2,0.119,0.075,0.034,0.0348
m5dn.large,8.0,2,0.136,0.086,0.034,0.0679
m5zn.large,8.0,2,0.1652,0.1041,0.034,0.0346
im4gn.large,8.0,2,0.1819,0.11665,0.0546,0.0546
a1.xlarge,8.0,4,0.102,0.0643,0.0423,0.0424
c6g.xlarge,8.0,4,0.136,0.0857,0.068,0.068
c6a.xlarge,8.0,4,0.153,0.10121,0.068,0.068
c6gd.xlarge,8.0,4,0.1536,0.0968,0.068,0.068
c5a.xlarge,8.0,4,0.154,0.097,0.0648,0.0744
c5.xlarge,8.0,4,0.17,0.107,0.0733,0.089
c6i.xlarge,8.0,4,0.17,0.11246,0.068,0.0694
c5ad.xlarge,8.0,4,0.172,0.108,0.0652,0.0801
c6gn.xlarge,8.0,4,0.1728,0.10906,0.068,0.068
c5d.xlarge,8.0,4,0.192,0.121,0.0702,0.0903
inf1.xlarge,8.0,4,0.228,0.144,0.0684,0.0684
g5g.xlarge,8.0,4,0.42,0.2646,0.126,0.1357
c5n.xlarge,10.5,4,0.216,0.136,0.0652,0.0801
is4gen.large,12.0,2,0.28815,0.19653,0.0864,0.0864
i2.large,15.0,2,unavailable,unavailable,unavailable,unavailable
m3.xlarge,15.0,4,0.266,0.19,0.0617,0.0626
m1.xlarge,15.0,4,0.35,0.224,0.0407,0.1883
c4.2xlarge,15.0,8,0.398,0.252,0.1826,0.2456
c3.2xlarge,15.0,8,0.42,0.292,0.1377,0.1505
g2.2xlarge,15.0,8,0.65,0.474,0.195,0.195
r4.large,15.25,2,0.133,0.084,0.0345,0.0415
i3.large,15.25,2,0.156,0.107,0.0468,0.0468
r3.large,15.25,2,0.166,0.105,0.0425,0.0454
x2gd.medium,16.0,1,0.0835,0.0515,0.0251,0.0251
r6g.large,16.0,2,0.1008,0.0635,0.0374,0.0374
r5a.large,16.0,2,0.113,0.071,0.0407,0.0499
r6gd.large,16.0,2,0.1152,0.0726,0.0374,0.0374
r5.large,16.0,2,0.126,0.079,0.0362,0.0835
r6i.large,16.0,2,0.126,0.08335,0.0374,0.0502
r5ad.large,16.0,2,0.131,0.083,0.0356,0.0358
r5d.large,16.0,2,0.144,0.091,0.0356,0.0366
r5b.large,16.0,2,0.149,0.09387,0.0356,0.0356
r5n.large,16.0,2,0.149,0.094,0.0356,0.0356
r5dn.large,16.0,2,0.167,0.105,0.0356,0.0356
z1d.large,16.0,2,0.186,0.117,0.0558,0.0558
i3en.large,16.0,2,0.226,0.154,0.0678,0.0678
t4g.xlarge,16.0,4,0.1344,0.0843,0.0403,0.0403
t3a.xlarge,16.0,4,0.1504,0.0943,0.0562,0.0669
m6g.xlarge,16.0,4,0.154,0.0966,0.0714,0.0769
t3.xlarge,16.0,4,0.1664,0.1043,0.0499,0.0621
m5a.xlarge,16.0,4,0.172,0.108,0.0809,0.1005
m6a.xlarge,16.0,4,0.1728,0.11431,0.0714,0.0914
m6gd.xlarge,16.0,4,0.1808,0.1139,0.0714,0.0793
t2.xlarge,16.0,4,0.1856,0.115,0.0578,0.0603
m5.xlarge,16.0,4,0.192,0.121,0.068,0.071
m6i.xlarge,16.0,4,0.192,0.12701,0.0725,0.0835
m4.xlarge,16.0,4,0.2,0.1239,0.0792,0.1263
m5ad.xlarge,16.0,4,0.206,0.13,0.0791,0.1411
m5d.xlarge,16.0,4,0.226,0.142,0.0699,0.0744
m5n.xlarge,16.0,4,0.238,0.15,0.0691,0.1316
m5dn.xlarge,16.0,4,0.272,0.171,0.0715,0.2078
m5zn.xlarge,16.0,4,0.3303,0.2081,0.0718,0.0951
im4gn.xlarge,16.0,4,0.36379,0.23331,0.1091,0.1091
g4ad.xlarge,16.0,4,0.37853,0.23847,0.2542,0.2656
d3en.xlarge,16.0,4,0.526,0.331,0.1578,0.1578
g4dn.xlarge,16.0,4,0.526,0.331,0.1578,0.1578
g5.xlarge,16.0,4,1.006,0.63378,0.3018,0.3494
a1.2xlarge,16.0,8,0.204,0.1285,0.0671,0.0681
c6g.2xlarge,16.0,8,0.272,0.1714,0.136,0.148
c6a.2xlarge,16.0,8,0.306,0.20242,0.136,0.136
c6gd.2xlarge,16.0,8,0.3072,0.1935,0.136,0.1468
c5a.2xlarge,16.0,8,0.308,0.194,0.1407,0.1963
c5.2xlarge,16.0,8,0.34,0.214,0.1823,0.2016
c6i.2xlarge,16.0,8,0.34,0.22491,0.136,0.2407
c5ad.2xlarge,16.0,8,0.344,0.217,0.1473,0.2703
c6gn.2xlarge,16.0,8,0.3456,0.21813,0.136,0.141
inf1.2xlarge,16.0,8,0.362,0.228,0.1086,0.1293
c5d.2xlarge,16.0,8,0.384,0.242,0.1295,0.2053
g5g.2xlarge,16.0,8,0.556,0.3503,0.1668,0.1668
mac2.metal,16.0,12,unavailable,unavailable,unavailable,unavailable
m2.xlarge,17.1,2,0.245,0.111,0.0245,0.0296
c5n.2xlarge,21.0,8,0.432,0.272,0.1295,0.2457
is4gen.xlarge,24.0,4,0.5763,0.39306,0.1729,0.1729
vt1.3xlarge,24.0,12,0.65,0.4095,0.195,0.195
m3.2xlarge,30.0,8,0.532,0.38,0.1494,0.1925
c4.4xlarge,30.0,16,0.796,0.504,0.2468,0.3321
c3.4xlarge,30.0,16,0.84,0.584,0.235,0.335
r4.xlarge,30.5,4,0.266,0.168,0.1049,0.1626
i3.xlarge,30.5,4,0.312,0.214,0.1259,0.1382
r3.xlarge,30.5,4,0.333,0.209,0.074,0.153
d2.xlarge,30.5,4,0.69,0.402,0.207,0.207
g3s.xlarge,30.5,4,0.75,0.551,0.225,0.225
i2.xlarge,30.5,4,0.853,0.424,0.2559,0.2739
x2gd.large,32.0,2,0.167,0.1029,0.0501,0.0501
r6g.xlarge,32.0,4,0.2016,0.127,0.0748,0.0764
r5a.xlarge,32.0,4,0.226,0.142,0.0866,0.1499
r6gd.xlarge,32.0,4,0.2304,0.1452,0.0748,0.0748
r5.xlarge,32.0,4,0.252,0.159,0.0917,0.1124
r6i.xlarge,32.0,4,0.252,0.1667,0.0757,0.0879
r5ad.xlarge,32.0,4,0.262,0.165,0.072,0.079
r5d.xlarge,32.0,4,0.288,0.181,0.0805,0.106
r5b.xlarge,32.0,4,0.298,0.18774,0.0713,0.1064
r5n.xlarge,32.0,4,0.298,0.188,0.0788,0.1124
r5dn.xlarge,32.0,4,0.334,0.21,0.0713,0.0999
z1d.xlarge,32.0,4,0.372,0.234,0.1116,0.1116
i3en.xlarge,32.0,4,0.452,0.308,0.1356,0.1413
d3.xlarge,32.0,4,0.499,0.315,0.1497,0.1497
t4g.2xlarge,32.0,8,0.2688,0.1686,0.0806,0.0806
t3a.2xlarge,32.0,8,0.3008,0.1886,0.0902,0.1667
m6g.2xlarge,32.0,8,0.308,0.1932,0.145,0.1626
t3.2xlarge,32.0,8,0.3328,0.2086,0.0998,0.1552
m5a.2xlarge,32.0,8,0.344,0.217,0.1741,0.225
m6a.2xlarge,32.0,8,0.3456,0.22861,0.1529,0.1838
m6gd.2xlarge,32.0,8,0.3616,0.2278,0.1428,0.1467
t2.2xlarge,32.0,8,0.3712,0.23,0.1114,0.1312
m5.2xlarge,32.0,8,0.384,0.242,0.1612,0.1842
m6i.2xlarge,32.0,8,0.384,0.25402,0.1464,0.1983
m4.2xlarge,32.0,8,0.4,0.2478,0.176,0.2424
m5ad.2xlarge,32.0,8,0.412,0.26,0.2162,0.3061
m5d.2xlarge,32.0,8,0.452,0.285,0.2287,0.2666
h1.2xlarge,32.0,8,0.468,0.318,0.1404,0.1404
m5n.2xlarge,32.0,8,0.476,0.3,0.2313,0.3637
g4ad.2xlarge,32.0,8,0.54117,0.34094,0.2302,0.2467
m5dn.2xlarge,32.0,8,0.544,0.343,0.2393,0.393
m5zn.2xlarge,32.0,8,0.6607,0.4162,0.1592,0.2278
im4gn.2xlarge,32.0,8,0.72758,0.46662,0.2183,0.2183
g4dn.2xlarge,32.0,8,0.752,0.474,0.2256,0.2256
d3en.2xlarge,32.0,8,1.051,0.662,0.3153,0.3153
g5.2xlarge,32.0,8,1.212,0.76356,0.3636,0.3707
mac1.metal,32.0,12,unavailable,unavailable,unavailable,unavailable
a1.metal,32.0,16,0.408,0.257,0.1343,0.1343
a1.4xlarge,32.0,16,0.408,0.257,0.1343,0.1343
c6g.4xlarge,32.0,16,0.544,0.3427,0.2721,0.3584
c6a.4xlarge,32.0,16,0.612,0.40484,0.2721,0.2721
c6gd.4xlarge,32.0,16,0.6144,0.3871,0.2721,0.3217
c5a.4xlarge,32.0,16,0.616,0.388,0.2928,0.3773
c5.4xlarge,32.0,16,0.68,0.428,0.2655,0.3415
c6i.4xlarge,32.0,16,0.68,0.44982,0.2773,0.3383
c5ad.4xlarge,32.0,16,0.688,0.433,0.285,0.3627
c6gn.4xlarge,32.0,16,0.6912,0.43625,0.2721,0.2757
c5d.4xlarge,32.0,16,0.768,0.484,0.2945,0.4276
g5g.4xlarge,32.0,16,0.828,0.5216,0.2484,0.2484
m2.2xlarge,34.2,4,0.49,0.222,0.049,0.2785
c5n.4xlarge,42.0,16,0.864,0.544,0.2655,0.45
is4gen.2xlarge,48.0,8,1.1526,0.78611,0.3458,0.3458
m5zn.3xlarge,48.0,12,0.991,0.6243,0.2776,0.3528
inf1.6xlarge,48.0,24,1.18,0.744,0.354,0.354
vt1.6xlarge,48.0,24,1.3,0.819,0.39,0.39
c3.8xlarge,60.0,32,1.68,1.168,0.5667,0.6208
g2.8xlarge,60.0,32,2.6,1.896,0.78,2.6
c4.8xlarge,60.0,36,1.591,1.008,0.5171,0.6354
cc2.8xlarge,60.5,32,2,unavailable,unavailable,unavailable
p2.xlarge,61.0,4,0.9,0.614,0.27,0.27
r4.2xlarge,61.0,8,0.532,0.336,0.2153,0.3185
i3.2xlarge,61.0,8,0.624,0.428,0.2513,0.289
r3.2xlarge,61.0,8,0.665,0.418,0.1366,0.1628
d2.2xlarge,61.0,8,1.38,0.804,0.414,0.414
i2.2xlarge,61.0,8,1.705,0.848,0.5115,0.5115
p3.2xlarge,61.0,8,3.06,2.088,0.918,1.6407
x2gd.xlarge,64.0,4,0.334,0.2058,0.1002,0.1002
r6g.2xlarge,64.0,8,0.4032,0.254,0.1525,0.1709
r5a.2xlarge,64.0,8,0.452,0.285,0.1602,0.2364
r6gd.2xlarge,64.0,8,0.4608,0.2903,0.1496,0.1623
r5.2xlarge,64.0,8,0.504,0.318,0.1943,0.2772
r6i.2xlarge,64.0,8,0.504,0.3334,0.1578,0.3691
r5ad.2xlarge,64.0,8,0.524,0.33,0.1582,0.2823
r5d.2xlarge,64.0,8,0.576,0.363,0.2151,0.2999
r5n.2xlarge,64.0,8,0.596,0.375,0.1535,0.2983
r5b.2xlarge,64.0,8,0.596,0.37548,0.1539,0.4165
r5dn.2xlarge,64.0,8,0.668,0.421,0.1579,0.2981
z1d.2xlarge,64.0,8,0.744,0.469,0.2232,0.4639
i3en.2xlarge,64.0,8,0.904,0.616,0.2712,0.3282
d3.2xlarge,64.0,8,0.999,0.629,0.2997,0.3289
m6g.4xlarge,64.0,16,0.616,0.3864,0.2866,0.3156
m5a.4xlarge,64.0,16,0.688,0.433,0.3133,0.4239
m6a.4xlarge,64.0,16,0.6912,0.45723,0.2936,0.4312
m6gd.4xlarge,64.0,16,0.7232,0.4556,0.2857,0.32
m5.4xlarge,64.0,16,0.768,0.484,0.3493,0.3761
m6i.4xlarge,64.0,16,0.768,0.50803,0.2976,0.3688
m4.4xlarge,64.0,16,0.8,0.4956,0.3089,0.4222
m5ad.4xlarge,64.0,16,0.824,0.519,0.3589,0.6987
g4ad.4xlarge,64.0,16,0.867,0.54621,0.2671,0.3959
m5d.4xlarge,64.0,16,0.904,0.57,0.3174,0.4239
h1.4xlarge,64.0,16,0.936,0.636,0.2808,0.3299
m5n.4xlarge,64.0,16,0.952,0.6,0.4306,0.6584
m5dn.4xlarge,64.0,16,1.088,0.685,0.3415,0.8396
g4dn.4xlarge,64.0,16,1.204,0.759,0.3612,0.3612
im4gn.4xlarge,64.0,16,1.45517,0.93324,0.4366,0.4366
g5.4xlarge,64.0,16,1.624,1.02312,0.4872,0.4872
d3en.4xlarge,64.0,16,2.103,1.325,0.6309,0.6607
c6g.8xlarge,64.0,32,1.088,0.6854,0.5441,0.5654
c6a.8xlarge,64.0,32,1.224,0.80968,0.5441,0.5441
c6gd.8xlarge,64.0,32,1.2288,0.7741,0.5441,0.5441
c5a.8xlarge,64.0,32,1.232,0.776,0.5427,0.7277
c6i.8xlarge,64.0,32,1.36,0.89964,0.586,0.6967
g5g.8xlarge,64.0,32,1.372,0.8644,0.4116,0.4116
c5ad.8xlarge,64.0,32,1.376,0.867,0.5873,0.9921
c6gn.8xlarge,64.0,32,1.3824,0.87251,0.5441,0.5441
m2.4xlarge,68.4,8,0.98,0.444,0.098,0.6154
c5.9xlarge,72.0,36,1.53,0.964,0.6141,0.6996
c5d.9xlarge,72.0,36,1.728,1.089,0.7714,0.812
z1d.3xlarge,96.0,12,1.116,0.703,0.3348,0.3568
i3en.3xlarge,96.0,12,1.356,0.924,0.4068,0.4068
is4gen.4xlarge,96.0,16,2.3052,1.57223,0.6916,0.6916
m5zn.6xlarge,96.0,24,1.982,1.2487,0.4081,0.4974
d3en.6xlarge,96.0,24,3.154,1.987,0.9462,0.9462
c5n.9xlarge,96.0,36,1.944,1.225,0.598,0.8811
